WHO region,Year,region
Western Pacific,2001,175398
Western Pacific,2002,129306
Western Pacific,2003,101810
Western Pacific,2004,91763
Western Pacific,2005,128017
Western Pacific,2006,103159
Western Pacific,2007,112294
Western Pacific,2008,147987
Western Pacific,2009,66609
Western Pacific,2010,49460
Western Pacific,2011,21050
Western Pacific,2012,10764
Western Pacific,2013,31844
Western Pacific,2014,131043
Western Pacific,2015,65176
Western Pacific,2016,57879
Western Pacific,2017,10695
Western Pacific,2018,29503
Western Pacific,2019,78479
Western Pacific,2020,6599
Western Pacific,2021,1061
